input_text,priority_binned,bug_resolution_time
Methods returning an empty string in a <bean-action> will cause the Event constructor to fail,Medium,Long-Term
PhoneBook-Portlet sample doesn't run in WebLogic Portal,Medium,Long-Term
Backing bean does not support nested properties,Medium,Long-Term
Custom scoped actions are cannot be instantiated,Medium,Long-Term
wrong namespace in reference manual for client side validation.,Medium,Short-Term
Bug in swf_ajax.js in shippingrate example when use enter to submit form,Medium,Long-Term
Various flow explosion issues in Hotel Booking Sample app,Medium,Long-Term
swf-sellitem-jsf sample application don't work with a 2.4 Servlet Container,Medium,Long-Term
Typo in faces-config.xml (swf-sellitem-jsf),Low,Short-Term
Session binding conversation containers cannot be used in a cluster,Medium,Short-Term
Portlet ChangeMode not working in EndState via flowRedirect or externalRedirect,Medium,Long-Term
firefox executes an another method,Low,Long-Term
Fix several Web Flow reference manual typos,Low,Long-Term
RequestContext.attributes should never be null,Low,Long-Term
MapAccessor does not correctly handle null values,Medium,Long-Term
Converters attempt type conversion even if source object is already assignment compatible with target class.,Medium,Short-Term
Remove dependency on OGNL,Medium,Short-Term
HibernateSessionPerConversationListener does not handle subflows properly,Medium,Short-Term
HibernateSessionPerConversationListener does not play nicely with Spring's HibernateTransactionManager,Medium,Short-Term
FlowExecutionHolder not available during portlet render phase,Medium,Long-Term
Problems handling exceptions thrown in an end-state,Medium,Long-Term
Unit tests cannot override beans defined in a flow local application context,Medium,Long-Term
SWF-JSF: ExternalContext ThreadLocal not properly released in exceptional situations,Medium,Short-Term
CONVERSATION_CONTAINER_KEY should be unique per FlowExecutor ,Medium,Short-Term
SWF-JSF: Impossible to fallback to default navigation handler rules since flowExecutionKey is tracked automatically,Medium,Short-Term
"typo ""5.6.4. Launching a flow execution - normal HTML anchor""",Low,Short-Term
SWF-JSF: Flow execution refresh operations incorrectly cause a new flow execution key to be generated,Medium,Short-Term
"SWF-JSF: JSF command buttons with action=""flowId:XXX"" don't work when invoked from within flow execution",Medium,Short-Term
Sellitem-JSF back-button problem II,Low,Short-Term
Limitations using JSF UI components in end-state views,Low,Short-Term
Restoring the FlowExecution after RESTORE_VIEW phase in JSF causes some value binding expressions to fail.,Medium,Short-Term
ajax4jsf compatibility is broken,Medium,Short-Term
FlowExecutorImpl's resume() and refresh() methods should throw a FlowException for an empty flowExecutionKey,Medium,Short-Term
Url encoding problems with ClientContinuationFlowExecutionRepository,Medium,Short-Term
Make ThreadLocal variables final,Medium,Short-Term
BeanInvokingActionFactory exception when invoking an intercepted bean,Medium,Long-Term
Redirect URLs in a JSF environment are not encoded,Medium,Short-Term
The combination of evaluate-action and on-exception does not work,Medium,Long-Term
nested inline flow state ids are not scoped,Low,Long-Term
getLastEvent() returns null directly after entering a subflow,Medium,Short-Term
type attribute in the <repository/> tag is not read for configuration,Medium,Short-Term
Flow redirection parameter incorrectly mapped in a portlet environment,Medium,Long-Term
mistake in 2.2.1. XML-based Flow template,Low,Short-Term
bad link on homepage,Low,Short-Term
for jdk 1.3: FlowSystemDefaults.applyExecutionAttributes(FlowSystemDefaults.java:74) throws java.lang.NoSuchMethodError,Medium,Short-Term
XmlFlowBuilder cannot handle prefixes namespaces,Medium,Short-Term
initBind called when expected not being called.,Low,Short-Term
uncorrect behaviour of FlowListenerAdapter on JSF environment,Medium,Long-Term
FlowExecutorFactoryBean configures ClientContinuationFlowExecutionRepository with SessionBindingConversationManager by default,Medium,Short-Term
alwaysRedirectOnPause ignored in JSF,Medium,Long-Term
Ivy file lists junit as a default dependency,Low,Long-Term
FlowExecutionContinuationGroup.add does not correctly handle updating of a continuation with the same key,Medium,Short-Term
Binding: locale not correctly handled in NumberFormatter,Medium,Long-Term
Sellitem-JSF back-button problem,Low,Long-Term
Usage of InheritableThreadLocal invites ClassLoader reference leaks,Medium,Long-Term
Out-of-box webflow 1.0 RC4 sample not working on TOMCAT 5.5.17,Medium,Short-Term
RC04 has a dependency on Spring 2.0 (ClassUtils) therefore it is not compatible with Spring 1.2.8,Medium,Short-Term
Should FlowExecutorImpl.refresh put the execution back into the repo?,Medium,Short-Term
FlowPhaseListener does not lock flow execution,Medium,Long-Term
Hibernate Template is null,Medium,Long-Term
AbstractFlowRegistryFactoryBean populates registry more than once,Medium,Short-Term
Unable to use interface MessageAware in MultiAction,Medium,Long-Term
org.springframework.beans.NotReadablePropertyException,Medium,Long-Term
org.springframework.beans.TypeMismatchException is wrong,Medium,Long-Term
BeanInvokingActionFactory cannot correctly treat scope mechanism of Spring 2.0,Medium,Long-Term
Arbitrary method invocation doesn't unwrap InvocationTargetException,Medium,Long-Term
Cannot override integration-repo location in common-build,Low,Long-Term
Importing hibernate-targets.xml in common-build causes a target override error,Low,Long-Term
FlowExecutorArgumentExtractor creates incorrect urls for path based dispatchers,Medium,Long-Term
ViewId resolution problem when using facelets in FlowPhaseListener,Medium,Short-Term
tomahawk should be handled as a separate module in ivy repository,Low,Long-Term
Inner transition actions don't run with on-exception transition,Medium,Long-Term
PortletFlowController code does not handle external redirect ,Medium,Long-Term
Portlet sample portlet.xml missing required tag,Low,Long-Term
FormAction | javadoc,Low,Long-Term
Unhandled exception thrown during action bean method execution results in serialization failure,Medium,Long-Term
Shouldn't ParameterMap.getArray() return an array regardless of the amount of objects?,Medium,Short-Term
When running jsf integration in portlet FlowExecutionHolder is not propagated from action to render phase.,Medium,Long-Term
 JSF NavigationHandler not creating a continuation on ExternalRedirect view selection,Medium,Long-Term
[binding] TextToLabeledEnum should convert on constant name rather than enum label for consistency with Spring core,Low,Long-Term
NullPointerException when using JSF,Medium,Long-Term
Code in documentation section 5.3.1 is incorrect,Low,Long-Term
startState is null for FlowExecutionListener.sessionStarting when launching subflows to default startState,Low,Short-Term
FlowNavigationHandler (JSF-SWF integration) doesn't support null outcomes when inside an active flow execution,Medium,Long-Term
XmlFlowBuilder does not trigger bean factory lifecycle events on <import>ed bean definitions,Medium,Short-Term
Context relative redirect after flow completion,Low,Long-Term
patch(es) to java docs,Low,Long-Term
_flowExecutionId problem if GET and POST mixed.,Medium,Long-Term
NPE throwing Exception when currentState == null,Medium,Short-Term
Eclipse .classpath not correct for spring-core,Low,Long-Term
Directory 'lib' in spring-binding should not be in CVS,Low,Long-Term
clover license key is part of the zip distribution,Medium,Long-Term
NPE in ExpiredFlowCleanupFilter.,Medium,Long-Term
"Error creating action bean logs only FlowArtifactLookupException with ""chain exhausted"" message",Low,Long-Term
AbstractAction.afterPropertiesSet() does not throw Exception,Medium,Long-Term
Conversion: source class assignable to target class is incorrectly considered for conversion,Medium,Long-Term
Use of Collections.addAll() in class org.springframework.webflow.action.bean.Arguments,Medium,Short-Term
validator method requires formObjectType to be set,Low,Short-Term
Assertions broken in AbstractFlowExecutionTests,Low,Long-Term
incorrect error message when NoSuchTransition from subflow to parent,Low,Long-Term
ArrayIndexOutOfBoundsException on ActionState.doEnter(),Medium,Long-Term
Allow Webflow End States to Handle Dynamic Redirects,Medium,Long-Term
FlowExecutionImpl.getFlowIdStack removed?,Medium,Long-Term
misleading NoMatchingTransitionException message on chained action-states,Low,Short-Term
FlowExecutionImpl javadoc,Low,Short-Term
Event class javadoc,Low,Short-Term
Errors not bound to BindingActionForm on exception,Medium,Long-Term
"Sandbox -> Spring Web Flow -> MultiAction always uses ""this"" as delegate",Low,Short-Term
subflow form object with same name shadows main flow after returning,Medium,Short-Term
Unable to find Asm for stackmap generation on startup,Medium,Short-Term
"In STS, sleuth causes the compile error: Build path is incomplete. Cannot find class file for org/tmatesoft/svn/core/wc2/SvnOperationFactory #667",Low,Long-Term
"pom-Element ""build/pluginManagement/plugins"" leads to ""Plugin execution not covered by lifecycle configuration""",Medium,Short-Term
bean constructor argument validator erroneously checks abstract beans,Medium,Long-Term
Add Eclipse Data Tools Back into STS,Low,Short-Term
Downloading 64 bit for windows - seems to be for 32 bit.,Low,Long-Term
Maven dependencies with <classifier> tag are not resolved within the project opened,Medium,Long-Term
STS does not show RequestMappings for @RepositoryRestController handlers.,Low,Long-Term
"STS crashes during normal UI operations (opening a class, using completion, etc)",Low,Short-Term
Garbage appears in the Dashbord,Low,Short-Term
Dashboard tab shows unreadable text,Low,Short-Term
strange charset used on dashboard for initial install,Medium,Long-Term
"Cannot infer type argument(s) for <R> flatMap(Function<? super T,? extends Stream<? extends R>>)",Low,Short-Term
boot dashboard does not reflect the state of the app. Always in starting,Low,Short-Term
Spring boot properties file not recognized as such,Low,Long-Term
Warning: Class 'org.springframework.integration.expression.IntegrationEvaluationContextAwareBeanPostProcessor' is marked deprecated,Low,Long-Term
Restart doesnt work,Low,Long-Term
STS 3.8.2 and MacOS Sierra,Low,Long-Term
After Update Boot Dashboard not working,Medium,Long-Term
IPv6 + Origin header + X-Forwarded-For header gives NumberFormatException (Safari10 / CORS),Low,Short-Term
Spring boot Devtool not working with STS 3.8.1,Low,Long-Term
Slow builds after bootifing all maven modules,Low,Long-Term
STS Launching and Shutting down,Medium,Short-Term
Run As... Spring Boot Classpath issue throws ClassNotFoundException with WebMvcConfigurerAdapter,Low,Long-Term
