input_text,priority_binned,bug_resolution_time
AjaxTilesView does not work with Spring 3 and Tiles 2.1.2,High,Long-Term
facesContext.setViewRoot(..) should be called in FlowViewStateManager.restoreView(..),Medium,Long-Term
Problem with clustered sessions,Low,Long-Term
JpaFlowExecutionListener does not close db-connections when lazy loading is used,Low,Long-Term
SWF2 & spring3 portlets NoSuchMethodError portlet.FlowHandlerAdapter.checkAndPrepare,Low,Long-Term
Hitting escape or close on a popup causes webflow to become out of sync,Low,Long-Term
booking-mvc sample does not build,Low,Long-Term
MyFaces bugs causes FacesMessage serialization failure in a clustered environment,Low,Long-Term
Web Flow first wants to resolve the model before even checking if a databinding should be done at all,Low,Long-Term
Apache Trinidad ajax requests (PPR) don't work.,Low,Short-Term
SQL injection in example application,Medium,Long-Term
Validator only runs if signature matches exact model object Class,Medium,Long-Term
NPE in FlowHandlerAdapter.sendFlowDefinitionRedirect when flowRedirect does not have parameters appended to it,Low,Long-Term
Wrong ID assigned to the flow when the flows are registred using flow-location-pattern AND base-path,Medium,Short-Term
Converter not applied when going from List to String,Medium,Long-Term
Endless Redirects happens when more then one request Parameter is present on redirect,Medium,Long-Term
Spring WebFlow throws IllegalArgumentException while binding map entries,Medium,Long-Term
ValidationHelper should make use of Validator.supports method,Low,Long-Term
Unclosed Tags in Documentation,Low,Long-Term
Tomahawk dataScroller will only render page 1 of the pagination,Low,Long-Term
'please define titleabbrev in your docbook file!' in PDF manual,Low,Long-Term
Id handling of Spring AjaxViewRoot causes problems to RichFaces AjaxViewRoot,Medium,Long-Term
JSF 1.2-specific call to StateManager.saveView should be replaced with saveSerializedView for JSF 1.1 compatibiliy,Medium,Long-Term
Spring-faces 2.0.7 release does not contain the spring-faces-2.0.xsd,High,Short-Term
"Flow execution URL returned from externalContext.getFlowExecutionUrl(String, String) is not encoded",Medium,Short-Term
Ajax refresh of a fragment causes whole page to be refeshed in IE7,Medium,Short-Term
Jsf view state is maintained across redirects even if the view-state has been exited and re-entered,Medium,Medium-Term
An exception transition fails to transition if the exception occurs before the first view state is entered.,Medium,Medium-Term
Execution key is not always incremented.,Medium,Medium-Term
No redirect after POST occurs after server-side validation error,Medium,Long-Term
"FlowHandlerMapping not traversing flow registry hierarchy for flows, only queries the child registry",Medium,Short-Term
Merge process causes duplicate entries in parent transitions.,Medium,Medium-Term
AjaxTilesView composite definition traversal algorithm ignores AttributeType,High,Medium-Term
Flash scope not cleared if user handles response by calling externalContext.recordResponseComplete(),Medium,Medium-Term
WebFlowMessageCodesResolver creates leading '.' in the messageCodes,Medium,Short-Term
viewScope variable is not getting destroyed,High,Short-Term
SelectionTrackingActionListener throws NPE when component's parent is null,Low,Short-Term
Infinite loop when using SWF + Ajax,Medium,Short-Term
org.springframework.js.resource.ResourceServlet - An attempt to access a protected resource at /dojo/resources/blank.html was disallowed.,Medium,Short-Term
NullPointerException with rich:messages,Medium,Short-Term
Spring.RemotingHandler handleResponse method should use a display:none span element,Medium,Medium-Term
ManySelectionTrackingListDataModel and OneSelectionTrackingListDataModel don't track selections correctly when using a <rich:dataScroller> component,Medium,Short-Term
WebFlowMessageCodesResolver breaks backward compatiblity with JDK 1.4 and appends empty prefix code,Low,Short-Term
ViewState.resume should check externalcontext.isResponseComplete before rendering or requesting redirect,High,Short-Term
java.lang.StackOverflowError,Medium,Medium-Term
FlowFacesContext didn't expose context messages with null source,Low,Medium-Term
AjaxTilesView does not handle cascaded attributes properly,Medium,Long-Term
TransitionExecutingFlowExecutionExceptionHandler hides log message,High,Long-Term
Messages restored from flash scope (DefaultMessageContext) are not in the same order of source messages,Medium,Medium-Term
Typo in EL exception message: is the base variable ''foo' spelled correctly?,Low,Long-Term
"Report: Web Flow redirects are losing channel information, e.g. a current HTTPs URL is changed to a plain HTTP URL resulting in a 404 not found on the redirect",Medium,Long-Term
"Web Flow redirects after post, even if alwaysRedirectOnPause is false or redirect attribute is false on view-state",Medium,Long-Term
There's no obvious way to create a custom FlowHandlerAdapter for the FlowController,Medium,Long-Term
Select dropdowns don't maintain selected state in IE when rendered into a modal dialog from an Ajax response,Medium,Short-Term
Can't build behind firewall using '-with-depencies' release,Medium,Long-Term
URL not encoded in struts environment webflow 1.0.5,Medium,Medium-Term
<faces:flow-builder-services> tag does not support development attribute,Low,Short-Term
FilenameFlowUrlHandler does not implement createFlowDefinitionUrl,Medium,Long-Term
'valid' property of input components gets lost before JSF render phase in portlet,High,Long-Term
'<transition on-exception' for AccessDeniedException handling does not work,Medium,Long-Term
Document Spring MVC binding error message code generation rules,Medium,Long-Term
AbstractFlowExecutionTests.assertFlowExecutionOutcomeEquals() has jUnit arguments reversed,Low,Long-Term
FlowFacesContext does not return the same FacesMessages instances,High,Long-Term
Richfaces rich:fileUpload transfer error,Medium,Long-Term
"popup=""true"" results in NoMatchingTransitionException",Medium,Short-Term
"popup=""true"" results in NoMatchingTransitionException",Medium,Short-Term
Fields on sequent pages with identical ids are populated with wrong values ,Medium,Long-Term
Performing a commit against a persistenceContext on sessionEnded prevents capturing a commit failure,Medium,Long-Term
Problem with the pop up,Medium,Long-Term
DefaultFlowUrlHandler does not take into account servlet mapping suffix in createFlowDefinitionUrl,Medium,Short-Term
StringToEnum throws IllegalArgumentException for enum-based properties of model,Medium,Long-Term
When handling exceptions <on-start> flow execution key is not set and that causes an IllegalStateException,Medium,Long-Term
JsfViewFactory not correctly checking if viewAlreadySet,Medium,Long-Term
IE6 Command Link Javascript Broken,Medium,Long-Term
FlowDefinitionResourceFactory.getFlowId does not remove the classpath scheme if the resource implements ContextResource,Medium,Short-Term
Change subfow-state to subflow-state and getMessageContext() to getMessages(),Medium,Long-Term
Maven Central artifact ids match SpringSource Enterprise Bundle Repository artifact ids which can lead to dependency resolution conflicts,Medium,Long-Term
"Flow Id not properly calculated when using ""classpath*:"" style resources in base-path",Medium,Short-Term
File extension left off when generating flow definition URLs for requests mapped using a servlet-mapping of *.extension (like *.htm),Medium,Short-Term
BeanWrapperExpressionParser does not respect target valueType when applying PropertyEditor->Converter adapter logic,Medium,Long-Term
MVC form:checkbox and form:checkboxes tags do not apply registered Converters for their item values,Medium,Long-Term
Multiple JSF validators duplicate messages,Low,Long-Term
Custom converters do not get applied correctly with collection elements (array/lists),Medium,Long-Term
Two 2.0.x webflow packages missing package descriptions,Low,Short-Term
StackOverflowError when performing Spring-JS calls,High,Medium-Term
subflow inheritance not working ,Medium,Medium-Term
Regression of SWF-918,Medium,Medium-Term
Message code resolving in Web Flow seems broken,Medium,Long-Term
SimpleELContext is not thread-safe,High,Medium-Term
Wrong method specified in sample validation code for returning MessageContext from ValidationContext,Medium,Long-Term
MessageContextErrors ignores nestedPath in getFieldValue,Medium,Long-Term
FlowHandlerMapping cannot handle null flowids,Medium,Long-Term
Spring.ValidateAllDecoration decoration on submit input somehow prevent from setting Dojo onload focus,Low,Medium-Term
Evaluation with result mapping during subflow transition results in no transition,Medium,Long-Term
Redirect after POST causes UI to be inconsistent with model,Medium,Long-Term
Render phase ignores facesContext.responseComplete,Medium,Long-Term
The ViewActionStateHolder stays in flashScope after successfully transitioning to the next view,Low,Medium-Term
"Booking MVC Reference Application: Decorated RadioButton components do not bind ""on"" selected value",Low,Medium-Term
Not possible to use Errors object as an alternative to ValidationContext on model validation methods,Medium,Medium-Term
User entered values that cause binding failures not available in ValidationContext during model validation.,Medium,Short-Term
"View data binding results lost after Action phase in Portlet environment, not propogating to Render phase.",Medium,Short-Term
Validation never runs if binding fails,Medium,Medium-Term
Base path behavior inconsistent between flow-location and flow-location-pattern,Medium,Short-Term
Trim whitespace properly from fragments attribute in AjaxTilesView,Medium,Medium-Term
No change in execution parameter with recursive subflow,Medium,Medium-Term
incorrect flowExecutionUrl if httpsession is url-rewrite-based (f.e. if you disable browser cookies),Medium,Short-Term
Multiple Fragments not rendering,High,Medium-Term
Locating of flow definitions broken when base-path not being used,Medium,Medium-Term
Decorating by ValidateAllDecoration non existing element causes js error with no console help.,Low,Medium-Term
WebFlow + JSF impossible mapping DispatcherServlet to /*,Medium,Medium-Term
Development mode flag not set for flows registered using flow-location-pattern,Medium,Short-Term
Evaluation exceptions caused by type conversion errors within target Expression of a data mapping not treating as a type conversion error,Medium,Short-Term
flow-registry base-path in combination with flow-location-pattern not working in dm server environment,High,Medium-Term
XmlFlowModelBuilder uses java 1.5 String.contains() method (not compatible with jre 1.4),Medium,Short-Term
Global Transitions don't fire listeners,Low,Short-Term
Incorrect redirect in new session,Medium,Long-Term
AjaxTilesView throws Null Pointer Exception if <definition> tag is empty,Medium,Long-Term
"ResourceServlet crash and add ""Error 500"" at the end of the streamed resource",Medium,Short-Term
AjaxTilesView fails for nested tiles-definition in case of an ajaxRequest,Medium,Short-Term
fix pom.xml for the js-project,Medium,Short-Term
Enum mappings can fail if they override methods,Low,Medium-Term
"ConversionExceptions thrown during EL type coersion are leaking out, which causes the data mapping process to halt",Medium,Short-Term
Ajax Tiles partial renders fail when session is not available,Medium,Short-Term
Server error pages are not getting correctly rendered in a popup with Dojo 1.0.2,Medium,Short-Term
AJAX commandLinks within <f:facet> do not work,Medium,Long-Term
FlowResourceELResolver does not work outside of Web Flow environment,Medium,Long-Term
No documentation on messages generated by the Web Flow system during view->model binding,Medium,Medium-Term
Merging Transitions doens't consider on-exceptions,Medium,Long-Term
Custom converters registered by id should always execute if capable,Medium,Short-Term
Document Default FlowUrlHandling rules for /app/* and *.htm URL forms,Medium,Medium-Term
RichFacesAjaxHandler does not correctly deal with FacesContext.getCurrentInstance()  being null ,Medium,Long-Term
Conversion fails for genric typed class,Medium,Long-Term
HTTP Status 404 after logging in to Spring Faces version of the Spring Travel booking app online,Medium,Long-Term
NPE with empty <binder>-tag,Low,Medium-Term
Reference documentation section 7.1,Low,Long-Term
"Reference documentation, section 6.4",Low,Long-Term
Reference documentation section 4.6,Low,Long-Term
"ServletExternalContext.getFlowExecutionUrl(..) returns a server-relative URL, should be a context-relative one",Low,Long-Term
SWF-JSF: Lost values after call a subflow with immediate=true,Medium,Long-Term
Spring.remoting.submitForm calls result in JS error in FF3,Low,Long-Term
JavaScript error on enterBookingDetails page of swf-booking-mvc sample,Medium,Short-Term
Page rerenders only it's DataTable component after sorting.,Medium,Short-Term
When using JSF getMaximumSeverity on the FlowFacesContext returns null even if a message has been added,Medium,Long-Term
Web Flow 2.0.3 and useSpringBeanBinding,Medium,Long-Term
Spring.remoting.submitForm hard-codes a POST,Medium,Long-Term
Document how to implement and register custom converters.,Medium,Long-Term
Changes to flow-local messages do not reflect without container restart,Medium,Long-Term
Dojo DateTextBox locale-specific formatting is not progressive,Medium,Long-Term
"After JSF validation/conversion errors, state is not returned correctly",High,Long-Term
Formatting service attribute not exposed in webflow:flow-builder-services,Medium,Long-Term
RichFaces a4j loadStyle doesn't get rendered,Low,Long-Term
Regression: Ognl/binding exceptions i 2.0.3,Low,Long-Term
ConversionService not used with ELExpression on getValue calls,Medium,Medium-Term
Custom ConversionService implementation not getting registered with default ExpressionParser,Medium,Medium-Term
Binding to [null] objects with OGNL used as the ExpressionParser is causing a NullPointerException,Medium,Medium-Term
zip file has problem file names,Medium,Short-Term
MessageContextErrors implementation does not implement all Errors methods,Medium,Medium-Term
on-exception transition does not work because ognl.MethodFailedException.getCause() returns null,Medium,Long-Term
FlowResourceFlowViewResolver.getViewInternal does not use the property,Medium,Long-Term
Failed to read schema document 'http://www.springframework.org/schema/webflow-config/spring-webflow-config-2.0.xsd',Medium,Long-Term
Child flows are unable to extend from parent flows located in a parent flow definition registry,Medium,Long-Term
Typo in sentence in documentation,Low,Long-Term
Transition back to the same view-state in the same request triggers a redirect,Medium,Medium-Term
testGetNodeAttributesAsString_DateValue Fails when in wrong time zone,Low,Short-Term
IllegalAccessError when MockRequestContext tries to access DefaultMessageContext,Medium,Long-Term
Spring Travel MVC Sample: Partial-refresh of messages div on booking form validation error causes erroneous Dojo Popup to appear with empty body in FF3,Medium,Short-Term
Does not work in Firefox 3,High,Short-Term
"FlowResourceFlowViewResolver hardcoded to "".jsp""",Medium,Long-Term
Sample JSF/SWF + Portlet does not function and does not use JSR-301 compliant bridge,High,Medium-Term
null value setted to model if conversion imposible,Medium,Short-Term
Test Fail during provided build,Medium,Medium-Term
Wildcard support for flow location of flows within registry (Related to http://jira.springframework.org/browse/SWF-562),Medium,Medium-Term
sf:commandLink breaks on IE 6 for multiple buttons,High,Long-Term
Spring Faces creates XHTML-incompatible JavaScript scripts,High,Long-Term
Flow Definition Registry can´t access XML flow definitions inside unexpanded web application archives.,Medium,Long-Term
Application errors are hidden when they occur during an Ajax request,Medium,Short-Term
ResourceServlet returns wrong 404 page,Medium,Short-Term
Transition on-exception not handled with ognl,Medium,Long-Term
java.io.NotSerializableException: org.springframework.orm.jpa.SharedEntityManagerCreator,Medium,Long-Term
Snapshot deserialization broken when using Quipukit:dataTable component,Medium,Long-Term
Conversion services not used during binding when integrating with Spring MVC,Low,Long-Term
Spring managed beans (scope=flow) lose reference to Hibernate sessionFactory (NullPointerException),Medium,Long-Term
java.lang.IllegalStateException: No Scope registered for scope 'flow',Medium,Long-Term
sf:commandLink fails on IE 6 when javascript disabled,High,Long-Term
"bind=""false"" on a global transition doesn't seem to have any effect",Medium,Long-Term
spring-js uses java 1.5 method calls,Low,Short-Term
External redirecting not working.,Medium,Long-Term
Spring.js AjaxEventDecoration not showing correct selected item in Internet Explorer,High,Medium-Term
JSF Character Encoding not set to UTF-8 ,High,Medium-Term
Spring Webflow 2.0.2 decorator's uppercase attribute is not working,Medium,Short-Term
FacesMessage.SEVERITY_FATAL does not propagate through FlowFacesContext,Medium,Long-Term
FacesMessage.detail does not propagate through FlowFacesContext,Medium,Long-Term
"Using the browser back button displays wrong data, if validation errors occurs",Medium,Long-Term
Can't place scoped-proxied beans into flow scope,Medium,Long-Term
FlowPhaseListener should save away JSF view state before issuing a flow execution redirect,Medium,Short-Term
Enhance FlowPhaseListener to have it maintain FacesMessages accross client side redirects,Medium,Short-Term
selectedRow doesn't work for JPA-annotated class having superclass with @MappedSuperClass,High,Long-Term
PropertyPlaceholderConfigurer within bean file imported into flow xml using 'bean-import' does not recognize classpath:,Medium,Long-Term
Form binding with numeric 'name' fails and causes binding error,Medium,Long-Term
h:commandLink didn't work in dataTable,High,Medium-Term
Invalid servlet / servlet-mapping in Serving Javascript Resources doco,Low,Long-Term
IllegalArgumentException is thrown in the Event constructor when Methods returns an empty string in a <evaluate /> action.,Medium,Long-Term
'title' attribute not getting properly copied from the source node of a Spring.ElementDecoration,Medium,Medium-Term
Spring Faces Dojo validation tags not rendering 'propercase' attribute.,Medium,Medium-Term
transition doesn't work if jsf view resolver is configured,Medium,Short-Term
LabeledEnum Unusabled in Java 5+,Medium,Long-Term
AbstractMvcView ignores ConversionService,Medium,Long-Term
CLONE -Methods returning an empty string in a <bean-action> will cause the Event constructor to fail,Medium,Long-Term
Unable to access FacesContext.getCurrentInstance() from transition expression,Medium,Medium-Term
Correct Spring security config in sample applications,Medium,Medium-Term
Component bindings not executed for components in Facets,High,Medium-Term
Multiple checkboxes to Collection mapping,Medium,Long-Term
Faces does not set components to valid on restore,Medium,Medium-Term
testGetNodeAttributesAsString_DateValue Fails when not in the USA,Low,Medium-Term
Documentation: Validating an Object,Medium,Medium-Term
<sf:ajaxEvent> for <h:selectOneRadio> worked in RC1 but stopped working in 2.0.1,Medium,Medium-Term
View rendering from end-state not working,Medium,Long-Term
Document ExpressionParser configuration for Spring Faces,Medium,Medium-Term
ResourceServlet allows HTTP access to sensitive files,Medium,Medium-Term
Spring.ElementDecoration should properly copy any style class or inline style from the decorated node.,Medium,Short-Term
Various (small) reference documentation errors / inconsistencies,Low,Medium-Term
booking-faces security-config.xml configuration is not correct,Low,Medium-Term
"ajaxEnabled=""false"" causing JavaScript error with <sf:commandLink>",Medium,Medium-Term
Clarify the purpose of the jsf-booking example,Low,Long-Term
Build failure if using Dutch (NL-NL) locale,Low,Long-Term
Please provide more information on JUnit testing in WebFlow docs,Low,Long-Term
Upgrade Guide includes inaccurate example code for Flow Request URL Handler,Low,Long-Term
Link in header of dataTable,Medium,Short-Term
sf:clientTextValidator doesn't respect custom faces converter ,Low,Medium-Term
NPE in Transition#getTargetStateId(),Low,Medium-Term
MockViewFactoryCreator not backwards compatible with Java 1.4,Medium,Short-Term
AbstractMvcView Not Backwards Compatible With Java 1.4,Medium,Short-Term
Redirect resonse code should be configurable (302 or 303),Medium,Short-Term
Sophisticated transitional expressions Issue,Low,Short-Term
Global messages displayed with <h:messages/> cannot be found in flow-local messages.properties,Medium,Short-Term
Popup view state does not disappear after externalRedirect.,Medium,Long-Term
SF and RichFaces components not showing when rendering dynamically ,Medium,Long-Term
"Exception text error, wrong scoped map name.",Low,Long-Term
Failure in Regular Expression to find the <script> tags,Medium,Long-Term
"When loading ApplicationContext resources, use resource.getInputStream() instead of resource.getFile()",Medium,Medium-Term
spring beans defined in app context do not appear to be accessible using ognl. test case provided.,Medium,Short-Term
Wrong OSGi Headers for Spring Core Imports,Low,Long-Term
Inherited flow's Global Transition not recognised when returning from a sub-flow.,Low,Long-Term
Cannot reject field-specific values through the Errors interface,Medium,Medium-Term
UnknownHostException causes ExceptionInInitializerError,Medium,Long-Term
Ognl expressions are not working correctly for setting things in flowScope,Medium,Short-Term
NumberFormatException not getting caught,Medium,Medium-Term
AjaxTilesView does not resolve deeply nested tiles attributes for rendering as fragments if the containing view has not previously been rendered.,Medium,Short-Term
"MvcView.render() incorrectly assumes ""requestContext.getFlowExecutionContext().getKey()"" is not null",Medium,Short-Term
CI-452 api docs broken,Medium,Medium-Term
FileNotFoundException while using Weblogic10 and SWF classpath flow-location-pattern,Medium,Medium-Term
NoSuchConversationException in safari browser when deployed on Tomcat 5.5.x on a Linux machine,Medium,Long-Term
Webflow 2.0.0.RC1 resolve.compile BUILD FAILED,Medium,Long-Term
input parameters passed in via request parameter leads to exception,Medium,Short-Term
Trinidad partial rendering not working correctly when used with Spring Faces,Medium,Long-Term
conversion tool does not strip el delimiters from bean action arguments,Medium,Medium-Term
Conversion tool does not map inputs and outputs properly,Medium,Short-Term
JDK1.4 not compliant code at runtime,Medium,Short-Term
It is possible for flow variable transient references to not be restored when a subflow ends and its parent flow resumes,Medium,Short-Term
Flash scope is being saved with a flow execution snapshot and should not be,Medium,Short-Term
NoSuchMethodError in AbstractFlowExecutionRepository (JDK 1.4.2),Medium,Short-Term
security-config.xml in booking-mvc does not validate against spring-security-2.0.xsd,Medium,Long-Term
"eventId value in ActionExecutingView is retrived only by the attribute name '_eventId' (should use the same logic as MvcView.findParameter(String logicalParameterName, ParameterMap parameters))",Medium,Medium-Term
Wrong tag in 4.9 Event handling sample,Medium,Short-Term
JSF Postback Lifecycle not executing when backtracking,Medium,Short-Term
Piecemeal validation in FormAction does not work,Medium,Short-Term
Binding to nested model properties does not work,Medium,Short-Term
Locale not getting picked up correctly by FlowMessageSourceResolver,Medium,Short-Term
"Exception handler bean ""attribute"" parsing is incorrect.",Medium,Short-Term
NoSuchMethodError Integer.valueOf(int) on JDK 1.4.2,Medium,Medium-Term
Login page doesn't work when accessed directly in samples,Low,Short-Term
Validation of dijit.form.CheckBox results in js error,Medium,Medium-Term
ResourceServlet allows http access to sensitive files,High,Short-Term
bug in the persistence listener when working with subflows (HibernateFlowExecutionListener),Medium,Medium-Term
Use of Implicit input/output set value (lvalue) expressions are documented but not implemented,Medium,Medium-Term
Documentation lists max-snapshots as a repostiory option but value is max-continuations,Medium,Medium-Term
Allow bind attribute on global transitions,Medium,Short-Term
MessageContext is not preserving the order of source messages,Medium,Medium-Term
NullPointerException in ProgressiveCommandButton,Medium,Short-Term
Update webflow-config and faces schemas to import spring-beans-2.5 instead of beans 2.0.,Low,Short-Term
"Update booking-portlet-faces sample to use faces schema, not faces-config",Low,Short-Term
View-state programming model needs to be consistent between MVC and JSF,Medium,Short-Term
Make sure faces ivy.xml dependencies have the correct config,Low,Medium-Term
Resolve cyclical dependency between servlet/portlet and view packages,Medium,Medium-Term
MvcView is not including view scope in the model,Medium,Short-Term
flow-execution-repository type attribute should be optional,Medium,Short-Term
formatter-registry not configurable as a flow-builder-service,Medium,Short-Term
No way to specify parent flow registry from flow-registry tag,Medium,Short-Term
JSF + Portlet - NullPointerException in AbstractConversationFlowExecutionRepository,Medium,Long-Term
FlowExecutionException#wrap(Exception e) doesn't retain cause... ,Medium,Short-Term
"Ensure the lifecycle is executed correctly for a command component with immediate=""true""",Medium,Short-Term
MvcViewTests fails because of Locale dependency,Low,Medium-Term
implementations of ConversationLock.lock should throw exception after configurable timeout period,High,Medium-Term
FlowExecutionListener does not have input MutableAttributeMap when started via AbstractXmlFlowExecutionTests,Medium,Medium-Term
Expose the flow web application context to the Spring MVC RequestContext instead of the DispatcherServlet,Medium,Medium-Term
Ensure html and css validation in the samples,Medium,Long-Term
JSFViewFactory's execution of the restore view lifecycle doesn't appear to match the JSF spec.,High,Long-Term
FlowViewStateManager set repeatedly on application instance after application initialization,High,Short-Term
"Spring Travel app (both versions) ""flickers"" in IE and Safari.",Medium,Long-Term
Dojo resources don't load correctly with JSF 1.2 RI,Medium,Short-Term
XmlFlowBuilder  breaks backward compatiblity to JDK 1.4,Medium,Long-Term
DefaultExpressionFactoryUtils should not automatically set the javax.el.ExpressionFactory system property,Medium,Medium-Term
org.springframework.webflow.execution.repository.impl.DefaultFlowExecutionRepository not extensible/appropriately pluggable,High,Long-Term
DefaultExpressionFactoryUtils breaks backward compatiblity to JDK 1.4,Low,Short-Term
No ability to set action execution attributes in Web Flow 2 M4,Medium,Medium-Term
org.springframework.faces.webflow.FlowVariableResolver not working with JDK1.4,Medium,Short-Term
Update out-of-date Java package descriptions in Web Flow source.,Medium,Long-Term
View variables restored after JSF lifecycle executes.  They should be restored before.,Medium,Short-Term
Infinite loop while handling exception,High,Long-Term
Flow definition redirects not working in xml-based flows,Medium,Short-Term
Exception handling in FlowExecutionImpl and HibernateFlowExecutionListener,Low,Long-Term
root messageSource not available in MessageSourceAware implementation in a flow,Low,Long-Term
"PhaseListener registered before Restore-View, PhaseListener caching FacesContext",Medium,Long-Term
PermGen errors when deploying booking-faces on Tomcat.  Perform profiling to determine what is causing this.,High,Long-Term
Make OGNL expression usage compatible with Web Flow 1.0 by default in Web Flow 2.0,Medium,Long-Term
"Add support for running Web Flow version 1.x flows on the 2.x engine, providing a smooth migration to 2.x for existing 1.x users.",Medium,Long-Term
"Simplify EL expression parsing abstraction API, provide normalized OGNL and EL support with backwards compatability for SWF 1.0 OGNL usage.",Medium,Medium-Term
"Resolution of variables using specific scope prefixes like ""flowScope"", ""flashScope"", etc. does not work in JSF views",Medium,Medium-Term
Form actions updated incorrectly on Ajax response,Medium,Short-Term
"URLs for <img>, <link> and <script> tags in JSF page not rendered correctly",Medium,Medium-Term
SelectedValueComparator compares the value coming from the Property editor to the toString to determine equality,Medium,Medium-Term
Form action URL is updated in correctly on an AJAX request,Medium,Short-Term
Cannot locate BeanDefinitionParser error message,Medium,Short-Term
Wrong _flowExecutionKey in externalRedirect view when using PortletFlowController,Medium,Long-Term
Websphere 6.01 Incompatibility,Medium,Long-Term
swf-booking-mvc search form doesn't work in SWF 2.0 M3,Medium,Long-Term
Root exception is hidden in exceptions throw by flowExecutionListeners when starting a flow,Medium,Long-Term
Mocked subflows can't be resolved during unit testing,High,Long-Term
conversation not invalidated when flow terminates through a refresh ,Low,Long-Term
Resources Flow does not set cache headers properly to allow for resource caching,Medium,Long-Term
Add Hibernate Session disconnect callback on pause after view rendering,Medium,Short-Term
Restore JSF 1.1 compatability for Web Flow 2.0,Medium,Medium-Term
Forms in Session,High,Long-Term
Website 2.0 schema contains 1.0 file contents (different from what is in JAR),Medium,Long-Term
Methods returning an empty string in a <bean-action> will cause the Event constructor to fail,Medium,Long-Term
PhoneBook-Portlet sample doesn't run in WebLogic Portal,Medium,Long-Term
Backing bean does not support nested properties,Medium,Long-Term
Custom scoped actions are cannot be instantiated,Medium,Long-Term
wrong namespace in reference manual for client side validation.,Medium,Short-Term
Bug in swf_ajax.js in shippingrate example when use enter to submit form,Medium,Long-Term
Various flow explosion issues in Hotel Booking Sample app,Medium,Long-Term
swf-sellitem-jsf sample application don't work with a 2.4 Servlet Container,Medium,Long-Term
